DATE,GBPUSD
19/06/13,1.5657
20/06/13,1.5469
21/06/13,1.5373
24/06/13,1.5404
25/06/13,1.5418
26/06/13,1.5332
27/06/13,1.5235
28/06/13,1.521
01/07/13,1.5247
02/07/13,1.5171
03/07/13,1.5264
04/07/13,.
05/07/13,1.491
08/07/13,1.4932
09/07/13,1.4837
10/07/13,1.4935
11/07/13,1.5127
12/07/13,1.5108
15/07/13,1.5088
16/07/13,1.5122
17/07/13,1.5184
18/07/13,1.5193
19/07/13,1.526
22/07/13,1.5366
23/07/13,1.5354
24/07/13,1.5367
25/07/13,1.5333
26/07/13,1.5368
29/07/13,1.5355
30/07/13,1.5244
31/07/13,1.5177
01/08/13,1.5145
02/08/13,1.5277
05/08/13,1.5347
06/08/13,1.5367
07/08/13,1.5514
08/08/13,1.5555
09/08/13,1.5507
12/08/13,1.5475
13/08/13,1.5451
14/08/13,1.5531
15/08/13,1.5573
16/08/13,1.5621
19/08/13,1.5665
20/08/13,1.5678
21/08/13,1.5678
22/08/13,1.558
23/08/13,1.5578
26/08/13,1.5568
27/08/13,1.5528
28/08/13,1.552
29/08/13,1.5488
30/08/13,1.5468
02/09/13,.
03/09/13,1.5544
04/09/13,1.5643
05/09/13,1.5593
06/09/13,1.5633
09/09/13,1.5724
10/09/13,1.5731
11/09/13,1.5807
12/09/13,1.5819
13/09/13,1.5861
16/09/13,1.5927
17/09/13,1.5901
18/09/13,1.5965
19/09/13,1.6043
20/09/13,1.6021
23/09/13,1.6066
24/09/13,1.6006
25/09/13,1.608
26/09/13,1.6012
27/09/13,1.6135
30/09/13,1.6179
01/10/13,1.6208
02/10/13,1.6224
03/10/13,1.6169
04/10/13,1.6069
07/10/13,1.6082
08/10/13,1.6089
09/10/13,1.5943
10/10/13,1.5975
11/10/13,1.5945
14/10/13,.
15/10/13,1.5974
16/10/13,1.5904
17/10/13,1.6166
18/10/13,1.6184
21/10/13,1.6149
22/10/13,1.6221
23/10/13,1.6171
24/10/13,1.6186
25/10/13,1.6158
28/10/13,1.6131
29/10/13,1.6059
30/10/13,1.6078
31/10/13,1.6068
01/11/13,1.5922
04/11/13,1.595
05/11/13,1.6044
06/11/13,1.608
07/11/13,1.6069
08/11/13,1.5995
11/11/13,.
12/11/13,1.5916
13/11/13,1.6033
14/11/13,1.6077
15/11/13,1.6107
18/11/13,1.611
19/11/13,1.611
20/11/13,1.615
21/11/13,1.6155
22/11/13,1.6211
25/11/13,1.6146
26/11/13,1.6187
27/11/13,1.6267
28/11/13,.
29/11/13,1.6373
02/12/13,1.6365
03/12/13,1.6416
04/12/13,1.6352
05/12/13,1.6328
06/12/13,1.6327
09/12/13,1.6403
10/12/13,1.6424
11/12/13,1.6389
12/12/13,1.6326
13/12/13,1.6294
16/12/13,1.6311
17/12/13,1.6254
18/12/13,1.6388
19/12/13,1.6382
20/12/13,1.6355
23/12/13,1.6356
24/12/13,1.6371
25/12/13,.
